,player_name,prediction
278,ND Doshi,8
279,NJ Maddinson,8
280,NK Patel,7
281,NL McCullum,0
282,NLTC Perera,4
283,NM Coulter-Nile,0
284,NS Naik,8
285,NV Ojha,3
286,OA Shah,4
287,P Awana,8
288,P Chopra,0
289,P Dogra,7
290,P Kumar,4
291,P Negi,4
292,P Sahu,0
293,PA Patel,6
294,PA Reddy,7
295,PC Valthaty,9
296,PD Collingwood,7
297,PJ Cummins,0
298,PJ Sangwan,8
299,PP Chawla,9
300,PP Ojha,8
301,PP Shaw,7
302,PR Shah,0
303,PSP Handscomb,8
304,PV Tambe,8
305,Pankaj Singh,8
306,Parvez Rasool,8
307,Q de Kock,5
308,R Ashwin,4
309,R Bhatia,4
310,R Bishnoi,0
311,R Dhawan,7
312,R Dravid,6
313,R McLaren,7
314,R Ninan,8
315,R Rampaul,0
316,R Sathish,4
317,R Sharma,0
318,R Shukla,8
319,R Tewatia,0
320,R Vinay Kumar,4
321,RA Jadeja,3
322,RA Tripathi,9
323,RE Levi,0
324,RE van der Merwe,7
325,RG Sharma,1
326,RJ Harris,7
327,RJ Peterson,0
328,RJ Quiney,7
329,RK Bhui,8
330,RK Singh,0
331,RN ten Doeschate,4
332,RP Singh,0
333,RR Bhatkal,8
334,RR Pant,5
335,RR Powar,0
336,RR Raje,0
337,RR Rossouw,0
338,RR Sarwan,0
339,RS Bopara,9
340,RS Gavaskar,8
341,RT Ponting,7
342,RV Gomez,0
343,RV Uthappa,1
344,Rashid Khan,0
345,S Anirudha,7
346,S Aravind,0
347,S Badree,8
348,S Badrinath,3
349,S Chanderpaul,8
350,S Dhawan,1
351,S Gopal,0
352,S Kaul,8
353,S Kaushik,8
354,S Ladda,8
355,S Nadeem,8
356,S Narwal,0
357,S Rana,0
358,S Randiv,8
359,S Sohal,4
360,S Sreesanth,8
361,S Sriram,0
362,S Tyagi,8
363,S Vidyut,7
364,SA Abbott,0
365,SA Asnodkar,4
366,SA Yadav,5
367,SB Bangar,0
368,SB Jakati,0
369,SB Joshi,8
370,SB Styris,7
371,SB Wagh,8
372,SC Ganguly,3
373,SD Chitnis,0
374,SE Bond,8
375,SE Marsh,6
376,SJ Srivastava,8
377,SK Raina,1
378,SK Trivedi,0
379,SK Warne,7
380,SL Malinga,0
381,SM Katich,7
382,SM Pollock,7
383,SMSM Senanayake,8
384,SN Khan,7
385,SN Thakur,0
386,SP Fleming,7
387,SP Goswami,4
388,SP Jackson,0
389,SP Narine,9
390,SPD Smith,3
391,SR Tendulkar,6
392,SR Watson,2
393,SS Iyer,5
394,SS Shaikh,8
395,SS Tiwary,5
396,ST Jayasuriya,9
397,STR Binny,9
398,SV Samson,3
399,SW Billings,4
400,SW Tait,8
401,Sachin Baby,7
402,Salman Butt,7
403,Sandeep Sharma,8
404,Shahid Afridi,0
405,Shakib Al Hasan,9
406,Shivam Mavi,8
407,Shivam Sharma,0
408,Shoaib Ahmed,8
409,Shoaib Akhtar,8
410,Shoaib Malik,0
411,Shubman Gill,7
412,Sohail Tanvir,0
413,Sunny Gupta,8
414,Sunny Singh,0
415,Swapnil Singh,8
416,T Henderson,8
417,T Kohli,8
418,T Taibu,0
419,T Thushara,8
420,TA Boult,8
421,TD Paine,8
422,TG Southee,0
423,TK Curran,8
424,TL Suman,9
425,TM Dilshan,5
426,TM Head,7
427,TM Srivastava,8
428,TR Birt,0
429,TS Mills,8
430,UA Birla,8
431,UBT Chand,4
432,UT Khawaja,7
433,UT Yadav,0
434,Umar Gul,0
435,V Kohli,1
436,V Pratap Singh,8
437,V Sehwag,6
438,V Shankar,4
439,VH Zol,0
440,VR Aaron,0
441,VRV Singh,0
442,VS Malik,8
443,VS Yeligati,8
444,VVS Laxman,4
445,VY Mahesh,8
446,Vishnu Vinod,8
447,W Jaffer,7
448,WA Mota,0
449,WD Parnell,0
450,WP Saha,3
