,player_name,prediction
278,SS Agarwal,3
279,SS Mundhe,3
280,SS Sarkar,3
281,ST Jayasuriya,0
282,STR Binny,4
283,SW Tait,0
284,Sachin Baby,3
285,Sandeep Sharma,5
286,Shahid Afridi,3
287,Shakib Al Hasan,5
288,Shivam Mavi,0
289,Shivam Sharma,3
290,Shoaib Ahmed,3
291,Shoaib Akhtar,3
292,Shoaib Malik,3
293,Sohail Tanvir,0
294,Swapnil Singh,3
295,T Henderson,3
296,T Natarajan,3
297,T Shamsi,3
298,T Thushara,3
299,TA Boult,4
300,TG Southee,4
301,TK Curran,3
302,TL Suman,3
303,TM Dilshan,0
304,TM Head,3
305,TP Sudhindra,3
306,TS Mills,3
307,UT Yadav,6
308,Umar Gul,3
309,V Kohli,0
310,V Pratap Singh,0
311,V Sehwag,3
312,V Shankar,3
313,VR Aaron,4
314,VRV Singh,0
315,VS Malik,0
316,VY Mahesh,0
317,WA Mota,3
318,WD Parnell,4
319,WPUJC Vaas,0
320,Washington Sundar,0
321,Y Nagar,3
322,Y Venugopal Rao,0
323,YA Abdulla,0
324,YK Pathan,5
325,YS Chahal,5
326,Yuvraj Singh,4
327,Z Khan,6
